timestamp,datapath_id,port_no,rx_packets,rx_bytes,rx_errors,rx_dropped,tx_packets,tx_bytes,tx_errors,tx_dropped,collisions,duration_sec,duration_nsec,label
2026-03-23T03:40:42.590042,1,4,4,208,0,0,2,104,0,0,0,10,675000000,NORMAL
2026-03-23T03:40:42.590042,1,4294967294,8,416,0,0,0,0,0,0,0,10,671000000,NORMAL
2026-03-23T03:40:42.591273,3,1,2,104,0,0,5,260,0,0,0,10,665000000,NORMAL
2026-03-23T03:40:42.591273,3,2,4,208,0,0,1,52,0,0,0,10,665000000,NORMAL
2026-03-23T03:40:42.591273,3,3,1,52,0,0,5,260,0,0,0,10,666000000,NORMAL
2026-03-23T03:40:42.591273,3,4294967294,11,572,0,0,0,0,0,0,0,10,655000000,NORMAL
2026-03-23T03:40:42.591429,6,1,2,104,0,0,4,208,0,0,0,10,672000000,NORMAL
2026-03-23T03:40:42.591429,6,2,4,208,0,0,2,104,0,0,0,10,672000000,NORMAL
2026-03-23T03:40:42.591429,6,3,1,52,0,0,5,260,0,0,0,10,672000000,NORMAL
2026-03-23T03:40:42.591429,6,4294967294,11,572,0,0,0,0,0,0,0,10,666000000,NORMAL
2026-03-23T03:40:42.591571,8,1,4,208,0,0,1,52,0,0,0,10,641000000,NORMAL
2026-03-23T03:40:42.591571,8,2,8,716,0,0,4,208,0,0,0,10,641000000,NORMAL
2026-03-23T03:40:42.591571,8,3,8,716,0,0,4,208,0,0,0,10,642000000,NORMAL
2026-03-23T03:40:42.591571,8,4,8,716,0,0,4,208,0,0,0,10,640000000,NORMAL
2026-03-23T03:40:42.591571,8,5,9,802,0,0,4,208,0,0,0,10,639000000,NORMAL
2026-03-23T03:40:42.591571,8,4294967294,17,884,0,0,0,0,0,0,0,10,635000000,NORMAL
2026-03-23T03:40:42.591724,10,1,5,260,0,0,1,52,0,0,0,10,653000000,NORMAL
2026-03-23T03:40:42.591724,10,2,8,716,0,0,5,260,0,0,0,10,651000000,NORMAL
2026-03-23T03:40:42.591724,10,3,8,716,0,0,5,260,0,0,0,10,650000000,NORMAL
2026-03-23T03:40:42.591724,10,4,8,716,0,0,5,260,0,0,0,10,652000000,NORMAL
2026-03-23T03:40:42.591724,10,5,8,716,0,0,5,260,0,0,0,10,649000000,NORMAL
2026-03-23T03:40:42.591724,10,4294967294,21,1092,0,0,0,0,0,0,0,10,643000000,NORMAL
2026-03-23T03:40:42.593281,7,1,6,312,0,0,1,52,0,0,0,10,622000000,NORMAL
2026-03-23T03:40:42.593281,7,2,8,716,0,0,6,312,0,0,0,10,622000000,NORMAL
2026-03-23T03:40:42.593281,7,3,9,802,0,0,6,312,0,0,0,10,622000000,NORMAL
2026-03-23T03:40:42.593281,7,4,8,716,0,0,6,312,0,0,0,10,622000000,NORMAL
2026-03-23T03:40:42.593281,7,5,9,806,0,0,6,312,0,0,0,10,621000000,NORMAL
2026-03-23T03:40:42.593281,7,4294967294,25,1300,0,0,0,0,0,0,0,10,617000000,NORMAL
2026-03-23T03:40:42.593416,9,1,5,260,0,0,1,52,0,0,0,10,626000000,NORMAL
2026-03-23T03:40:42.593416,9,2,8,716,0,0,5,260,0,0,0,10,627000000,NORMAL
2026-03-23T03:40:42.593416,9,3,8,716,0,0,5,260,0,0,0,10,627000000,NORMAL
2026-03-23T03:40:42.593416,9,4,8,716,0,0,5,260,0,0,0,10,626000000,NORMAL
2026-03-23T03:40:42.593416,9,5,8,716,0,0,5,260,0,0,0,10,628000000,NORMAL
2026-03-23T03:40:42.593416,9,4294967294,21,1092,0,0,0,0,0,0,0,10,622000000,NORMAL
2026-03-23T03:40:42.593541,2,1,1,52,0,0,5,260,0,0,0,10,633000000,NORMAL
2026-03-23T03:40:42.593541,2,2,1,52,0,0,5,260,0,0,0,10,634000000,NORMAL
2026-03-23T03:40:42.593541,2,3,1,52,0,0,5,260,0,0,0,10,634000000,NORMAL
2026-03-23T03:40:42.593541,2,4,2,104,0,0,5,260,0,0,0,10,635000000,NORMAL
2026-03-23T03:40:42.593541,2,4294967294,20,1040,0,0,0,0,0,0,0,10,629000000,NORMAL
2026-03-23T03:40:42.593649,5,1,2,104,0,0,5,260,0,0,0,10,611000000,NORMAL
2026-03-23T03:40:42.593649,5,2,5,260,0,0,1,52,0,0,0,10,612000000,NORMAL
2026-03-23T03:40:42.593649,5,3,1,52,0,0,5,260,0,0,0,10,611000000,NORMAL
2026-03-23T03:40:42.593649,5,4294967294,11,572,0,0,0,0,0,0,0,10,608000000,NORMAL
2026-03-23T03:40:42.593757,4,1,2,104,0,0,5,260,0,0,0,10,616000000,NORMAL
2026-03-23T03:40:42.593757,4,2,5,260,0,0,1,52,0,0,0,10,616000000,NORMAL
2026-03-23T03:40:42.593757,4,3,1,52,0,0,5,260,0,0,0,10,617000000,NORMAL
2026-03-23T03:40:42.593757,4,4294967294,11,572,0,0,0,0,0,0,0,10,612000000,NORMAL
2026-03-23T03:40:52.588766,1,1,10,520,0,0,2,104,0,0,0,20,673000000,NORMAL
2026-03-23T03:40:52.588766,1,2,9,468,0,0,2,104,0,0,0,20,673000000,NORMAL
2026-03-23T03:40:52.588766,1,3,9,468,0,0,2,104,0,0,0,20,672000000,NORMAL
2026-03-23T03:40:52.588766,1,4,9,468,0,0,2,104,0,0,0,20,673000000,NORMAL
2026-03-23T03:40:52.588766,1,4294967294,8,416,0,0,0,0,0,0,0,20,669000000,NORMAL
2026-03-23T03:40:52.591913,6,1,2,104,0,0,9,468,0,0,0,20,670000000,NORMAL
2026-03-23T03:40:52.591913,6,2,9,468,0,0,2,104,0,0,0,20,670000000,NORMAL
2026-03-23T03:40:52.591913,6,3,1,52,0,0,10,520,0,0,0,20,670000000,NORMAL
2026-03-23T03:40:52.591913,6,4294967294,21,1092,0,0,0,0,0,0,0,20,664000000,NORMAL
2026-03-23T03:40:52.592031,10,1,10,520,0,0,1,52,0,0,0,20,651000000,NORMAL
2026-03-23T03:40:52.592031,10,2,9,786,0,0,10,520,0,0,0,20,649000000,NORMAL
2026-03-23T03:40:52.592031,10,3,9,786,0,0,10,520,0,0,0,20,648000000,NORMAL
2026-03-23T03:40:52.592031,10,4,9,786,0,0,10,520,0,0,0,20,650000000,NORMAL
2026-03-23T03:40:52.592031,10,5,9,786,0,0,10,520,0,0,0,20,647000000,NORMAL
2026-03-23T03:40:52.592031,10,4294967294,41,2132,0,0,0,0,0,0,0,20,641000000,NORMAL
2026-03-23T03:40:52.592157,7,1,10,520,0,0,1,52,0,0,0,20,620000000,NORMAL
2026-03-23T03:40:52.592157,7,2,9,786,0,0,10,520,0,0,0,20,620000000,NORMAL
2026-03-23T03:40:52.592157,7,3,10,872,0,0,10,520,0,0,0,20,620000000,NORMAL
2026-03-23T03:40:52.592157,7,4,9,786,0,0,10,520,0,0,0,20,620000000,NORMAL
2026-03-23T03:40:52.592157,7,5,10,876,0,0,10,520,0,0,0,20,619000000,NORMAL
2026-03-23T03:40:52.592157,7,4294967294,41,2132,0,0,0,0,0,0,0,20,615000000,NORMAL
