timestamp,inference_ms,action,model_type,probs,safety_override,switched
2026-03-25T07:37:41.232082,1.013,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:37:46.233848,1.083,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:37:51.240106,0.976,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:37:56.242145,0.954,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:38:01.248434,0.964,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:38:06.250395,1.163,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:38:11.256082,1.008,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:38:16.258690,1.413,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:38:21.264088,1.021,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:38:26.266201,0.982,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:38:31.272135,0.982,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:38:36.274201,0.964,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:38:41.280133,0.959,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:38:46.281569,1.020,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:38:51.287755,0.970,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:38:56.290391,1.428,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:39:01.296260,1.102,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:39:06.298427,0.981,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:39:11.304148,1.002,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:39:16.306566,1.251,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:39:21.312257,1.130,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:39:26.314379,0.961,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:39:31.320957,1.241,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:39:36.322197,1.003,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:39:41.328551,0.979,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:39:46.330351,1.271,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:39:51.336587,1.006,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:39:56.338756,1.149,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:40:01.344078,0.972,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:40:06.346531,1.199,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:40:11.351311,1.053,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:40:16.354091,1.217,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:40:21.360233,1.144,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:40:26.362549,1.228,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:40:31.369190,1.320,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:40:36.371049,1.361,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:40:41.377960,1.838,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:40:46.380291,1.523,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:40:51.386057,0.995,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:40:56.388233,0.949,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:41:01.394325,1.206,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:41:06.395810,1.114,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:41:11.401483,1.257,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:41:16.403470,0.922,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:41:21.409391,1.303,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:41:26.411551,1.251,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:41:31.417805,0.937,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:41:36.419558,1.220,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:41:41.425417,1.288,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:41:46.426917,1.031,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:41:51.433343,0.928,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:41:56.435529,1.293,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:42:01.441875,1.036,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:42:06.443619,1.237,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:42:11.450091,1.077,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:42:16.451716,1.016,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:42:21.460719,0.945,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:42:26.462954,1.244,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:42:31.469396,0.947,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:42:36.471643,1.234,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:42:41.477974,0.961,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:42:46.480148,1.353,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:42:51.482604,1.002,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:42:56.484824,1.027,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:43:01.491075,1.018,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:43:06.493294,0.930,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:43:11.499880,1.245,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:43:16.501426,1.205,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:43:21.508236,1.350,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:43:26.510543,1.242,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:43:31.516145,1.044,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:43:36.518299,1.000,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:43:41.524125,1.025,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:43:46.526247,0.939,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:43:51.532408,1.295,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:43:56.534390,1.357,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:44:01.540267,0.956,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:44:06.541754,0.948,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:44:11.547914,0.952,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:44:16.549431,1.008,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:44:21.555095,0.995,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:44:26.557399,0.996,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:44:31.563444,1.266,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:44:36.565318,1.009,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:44:41.571135,0.997,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:44:46.573300,1.017,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:44:51.579102,0.998,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:44:56.581375,0.973,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
