timestamp,datapath_id,port_no,rx_packets,rx_bytes,rx_errors,rx_dropped,tx_packets,tx_bytes,tx_errors,tx_dropped,collisions,duration_sec,duration_nsec,label,scenario
2026-03-22T10:52:45.914174,7,5,4,396,0,0,0,0,0,0,0,1,68000000,NORMAL,video_conference
2026-03-22T10:52:45.914174,7,4294967294,0,0,0,0,0,0,0,0,0,1,63000000,NORMAL,video_conference
2026-03-22T10:52:55.914181,3,1,2,104,0,0,5,260,0,0,0,11,110000000,NORMAL,video_conference
2026-03-22T10:52:55.914181,3,2,1,52,0,0,5,260,0,0,0,11,111000000,NORMAL,video_conference
2026-03-22T10:52:55.914181,3,3,4,208,0,0,1,52,0,0,0,11,108000000,NORMAL,video_conference
2026-03-22T10:52:55.914181,3,4294967294,11,572,0,0,0,0,0,0,0,11,102000000,NORMAL,video_conference
2026-03-22T10:52:55.914514,2,1,5,260,0,0,1,52,0,0,0,11,98000000,NORMAL,video_conference
2026-03-22T10:52:55.914514,2,2,1,52,0,0,5,260,0,0,0,11,100000000,NORMAL,video_conference
2026-03-22T10:52:55.914514,2,3,1,52,0,0,5,260,0,0,0,11,99000000,NORMAL,video_conference
2026-03-22T10:52:55.914514,2,4,2,104,0,0,6,312,0,0,0,11,101000000,NORMAL,video_conference
2026-03-22T10:52:55.914514,2,4294967294,17,884,0,0,0,0,0,0,0,11,94000000,NORMAL,video_conference
2026-03-22T10:52:55.914849,10,1,7,364,0,0,1,52,0,0,0,11,121000000,NORMAL,video_conference
2026-03-22T10:52:55.914849,10,2,9,802,0,0,7,364,0,0,0,11,119000000,NORMAL,video_conference
2026-03-22T10:52:55.914849,10,3,8,716,0,0,7,364,0,0,0,11,120000000,NORMAL,video_conference
2026-03-22T10:52:55.914849,10,4,8,716,0,0,7,364,0,0,0,11,121000000,NORMAL,video_conference
2026-03-22T10:52:55.914849,10,5,9,802,0,0,7,364,0,0,0,11,118000000,NORMAL,video_conference
2026-03-22T10:52:55.914849,10,4294967294,29,1508,0,0,0,0,0,0,0,11,111000000,NORMAL,video_conference
2026-03-22T10:52:55.915173,6,1,5,260,0,0,1,52,0,0,0,11,127000000,NORMAL,video_conference
2026-03-22T10:52:55.915173,6,2,6,312,0,0,2,104,0,0,0,11,128000000,NORMAL,video_conference
2026-03-22T10:52:55.915173,6,3,1,52,0,0,7,364,0,0,0,11,127000000,NORMAL,video_conference
2026-03-22T10:52:55.915173,6,4294967294,10,520,0,0,0,0,0,0,0,11,121000000,NORMAL,video_conference
2026-03-22T10:52:55.917449,1,1,5,260,0,0,2,104,0,0,0,11,137000000,NORMAL,video_conference
2026-03-22T10:52:55.917449,1,2,2,104,0,0,6,312,0,0,0,11,137000000,NORMAL,video_conference
2026-03-22T10:52:55.917449,1,3,2,104,0,0,6,312,0,0,0,11,136000000,NORMAL,video_conference
2026-03-22T10:52:55.917449,1,4,1,52,0,0,5,260,0,0,0,11,137000000,NORMAL,video_conference
